"LOC_ID","Month","Total_Birds","Avg_HRS_Effort","Avg_Housing_Density"
"L100480",3,709,1.001,2
"L100480",11,457,1.001,2
"L100480",2,685,0.958692307692308,2
"L100480",4,104,1.001,2
"L100480",1,675,1.001,2
"L10048478",12,45,1.001,3
"L10048478",2,145,1.001,3
"L10048478",1,108,2.561,3
"L10048478",3,13,1.001,3
"L10048478",11,73,1.001,3
"L10048505",12,6,0.001,1
"L10048505",11,8,0.001,1
"L1004853",11,1126,2.34234615384615,2
"L1004853",12,1799,1.82265605095541,2
"L1004853",3,957,0.928797833935018,2
"L1004853",4,294,1.8965223880597,2
"L1004853",2,1254,1.001,2
"L1004853",1,1878,1.38411688311688,2
"L10048829",2,1199,0.63365306122449,1
"L10048829",11,306,0.512627906976744,1
"L10048829",1,513,0.279350515463917,1
"L10048829",12,445,0.807818181818182,1
"L10048829",3,799,0.558971014492754,1
"L10049605",11,80,5.37242857142857,3
"L10049605",2,59,2.95752173913043,3
"L10049605",12,61,6.66766666666667,3
"L10049605",1,50,1.94836842105263,3
"L10049673",3,199,1.001,1
"L10049673",2,163,1.001,1
"L10049673",11,128,1.001,1
"L10049673",12,134,1.001,1
"L10049673",4,184,0.509771929824561,1
"L10049673",1,133,1.001,1
"L10050489",4,44,1.001,2
"L10050489",11,92,1.001,2
"L10050489",1,28,1.001,2
"L10050489",12,26,1.001,2
"L10050489",2,32,1.001,2
"L10050756",11,82,2.63736363636364,1
"L10050756",12,38,1.001,1
"L10050756",1,35,4.001,1
"L10050889",1,70,1.001,3
"L10050889",11,53,1.001,3
"L10050898",3,52,1.001,1
"L10050898",2,16,1.001,1
"L10050898",11,7,1.001,1
"L10050898",1,14,1.001,1
"L10050898",4,57,2.051,1
"L10050898",12,107,1.001,1
"L1005097",12,68,0.441,3
"L1005097",1,200,3.041,3
"L1005097",2,113,0.543857142857143,3
"L1005097",11,82,1.001,3
"L1005097",3,30,0.001,3
"L10051229",1,30,1.001,2
"L10051229",12,49,1.001,2
"L10051229",11,39,1.001,2
"L10051229",2,33,1.001,2
"L10051229",3,152,1.001,2
"L10051229",4,17,1.001,2
"L10051287",11,214,1.001,2
"L10051287",1,648,1.001,2
"L10051287",3,435,1.001,2
"L10051287",12,252,1.001,2
"L10051287",2,529,1.001,2
"L10051289",3,98,4.87904878048781,3
"L10051289",12,104,5.94694594594595,3
"L10051289",2,143,4.001,3
"L10051289",1,94,5.4400243902439,3
"L10051289",4,85,4.201,3
"L10051289",11,84,4.001,3
"L10051580",11,35,1.001,3
"L10051662",3,63,2.30534782608696,1
"L10051662",1,28,1.001,1
"L10051662",11,35,1.001,1
"L10051662",12,56,1.001,1
"L10051819",2,194,6.04544444444444,3
"L10051819",11,34,4.001,3
"L10051819",1,104,8.001,3
"L10051819",12,41,6.11864705882353,3
"L10051819",3,74,6.58923529411765,3
"L10051819",4,58,8.001,3
"L10051918",11,85,1.001,2
"L10051918",3,120,0.654061224489796,2
"L10051918",2,72,0.301,2
"L10051918",1,104,1.001,2
"L10051918",12,136,0.601,2
"L10053343",12,34,0.001,3
"L10054139",1,118,2.82708695652174,2
"L10054139",11,36,0.429571428571429,2
"L10054139",12,23,0.778777777777778,2
"L10054139",2,57,0.723222222222222,2
"L10054139",4,42,0.001,2
"L10054139",3,73,1.78671428571429,2
"L10054725",4,90,0.653173913043478,1
"L10054725",2,19,0.001,1
"L10054725",3,22,0.001,1
"L10054725",11,48,1.001,1
"L10054725",1,32,0.501,1
"L10054725",12,76,1.001,1
"L10055342",4,31,0.001,2
"L10055342",12,31,0.001,2
"L10055342",2,159,0.001,2
"L10055342",1,57,0.786714285714286,2
"L10055342",3,46,0.001,2
"L10055342",11,58,0.001,2
"L10056031",2,218,1.001,2
"L10056031",1,57,1.001,2
"L10056031",12,30,1.001,2
"L10056031",11,65,1.001,2
"L10056031",4,51,1.001,2
"L10056164",12,74,0.634333333333333,3
"L10056164",11,82,0.742935483870968,3
"L10056164",1,106,0.676,3
"L10056164",4,26,0.001,3
"L10056164",3,95,0.734333333333333,3
"L10056164",2,207,0.386964912280702,3
"L10056416",3,90,0.001,1
"L10056416",11,36,0.001,1
"L10056416",2,108,0.001,1
"L10056416",12,68,0.001,1
"L10056416",1,124,0.001,1
"L10056484",3,139,0.415634146341463,4
"L10056484",2,112,0.429571428571429,4
"L10056545",2,208,0.396833333333333,3
"L10056545",1,198,1.001,3
"L10056545",3,126,0.766957446808511,3
"L10056545",12,137,1.001,3
"L10056545",11,104,1.001,3
"L10056545",4,56,0.524809523809524,3
"L10057002",2,23,1.001,3
"L10057002",11,7,1.001,3
"L10057002",3,12,1.001,3
"L10057002",12,9,4.001,3
"L10057871",1,77,1.001,3
"L10057871",11,58,2.15484615384615,3
"L10057871",3,63,1.001,3
"L10057871",2,70,0.479260869565217,3
"L10057871",4,32,0.001,3
"L10057871",12,147,0.732707317073171,3
"L10058091",1,7,0.001,3
"L10058091",11,21,0.001,3
"L10058091",12,21,0.001,3
"L10058410",11,179,4.001,1
"L10058410",1,121,1.001,1
"L10058410",3,192,2.46766666666667,1
"L10058410",2,94,1.001,1
"L10058410",12,259,1.001,1
"L10058494",4,34,4.001,4
"L10058494",1,25,0.901,4
"L10058494",11,50,3.626,4
"L10058494",3,40,1.001,4
"L10058494",2,23,1.001,4
"L10058494",12,80,2.56621739130435,4
"L10059178",3,70,1.001,3
"L10059178",2,133,1.001,3
"L10059178",4,51,0.948368421052632,3
"L10059178",1,45,1.001,3
"L10059178",12,87,1.001,3
"L10059178",11,36,1.001,3
"L10059326",12,119,1.001,1
"L10059326",1,82,1.001,1
"L10059326",11,19,1.001,1
"L10059326",2,123,1.001,1
"L10059326",3,168,1.001,1
"L10059501",1,26,1.001,1
"L10059501",11,20,0.637363636363636,1
"L10059501",2,76,1.73176923076923,1
"L10059501",12,50,0.001,1
"L10060078",2,25,1.001,4
"L10060078",11,11,1.001,4
"L10060078",4,28,1.001,4
"L10060078",12,15,0.847153846153846,4
"L10060078",1,18,1.001,4
"L10060078",3,90,1.001,4
"L10060423",11,23,1.001,3
"L10060423",4,112,4.36165573770492,3
"L10060423",12,114,2.501,3
"L10060423",3,97,2.36463636363636,3
"L10060423",1,85,2.35583870967742,3
"L10060423",2,98,2.72322222222222,3
"L10060481",4,123,1.001,3
"L10060481",11,34,1.001,3
"L10060481",12,145,0.801,3
"L10060481",1,155,0.764636363636364,3
"L10060481",2,172,1.001,3
"L10060481",3,140,1.001,3
"L10061783",1,124,1.001,1
"L10061783",3,88,1.001,1
"L10061783",11,54,2.15484615384615,1
"L10061783",4,13,1.001,1
"L10061783",2,71,1.001,1
"L10061783",12,84,1.001,1
"L10061841",4,185,0.001,4
"L10061841",12,131,0.523727272727273,4
"L10061841",11,157,0.448368421052632,4
"L10061841",3,173,0.301,4
"L10061841",1,168,1.001,4
"L10061841",2,243,0.190655172413793,4
"L10062036",12,99,1.17747058823529,3
"L10062036",1,116,1.001,3
"L10062036",4,12,0.801,3
"L10062036",3,6,0.001,3
"L10062036",2,32,0.001,3
"L10062082",12,342,0.905761904761905,2
"L10062082",1,186,1.001,2
"L10062082",11,244,1.001,2
"L10062413",12,237,1.001,1
"L10062413",11,157,1.001,1
"L10062413",3,79,0.001,1
"L10062413",2,70,0.467666666666667,1
"L10062413",1,80,1.001,1
"L10062413",4,103,0.001,1
"L10062588",3,169,1.001,3
"L10062588",2,147,1.001,3
"L10062588",11,88,0.601,3
"L10062588",4,58,1.001,3
"L10062588",12,149,1.001,3
"L10062588",1,137,0.616384615384615,3
"L10063894",11,23,4.001,3
"L10063894",12,98,2.84715384615385,3
"L10063894",1,170,4.001,3
"L10063978",12,706,1.001,1
"L10063978",11,712,1.001,1
"L10065314",11,40,1.001,3
"L10065329",2,51,1.001,2
"L10065329",1,153,1.001,2
"L10065329",11,111,1.001,2
"L10065329",12,144,1.001,2
"L10065363",3,59,1.001,1
"L10065363",12,44,1.001,1
"L10065363",2,75,0.794103448275862,1
"L10065363",1,48,1.001,1
"L10065363",11,22,1.001,1
"L10065622",3,24,1.001,2
"L10065622",12,28,1.001,2
"L10065622",1,14,1.001,2
"L10065622",2,35,1.001,2
"L10065622",4,56,0.770230769230769,2
"L10065622",11,49,1.001,2
"L1006577",3,262,4.001,1
"L1006577",12,346,3.63988888888889,1
"L1006577",4,92,4.001,1
"L1006577",2,328,4.001,1
"L1006577",11,131,3.1229512195122,1
"L1006577",1,521,4.001,1
"L10065814",11,18,0.001,3
"L10065814",1,35,0.001,3
"L10065814",3,29,0.001,3
"L10065814",12,32,0.001,3
"L10065814",2,7,0.001,3
"L10065814",4,33,0.001,3
"L10065899",3,21,0.001,2
"L10065899",4,49,NA,2
"L10065899",1,139,4.001,2
"L10065899",12,166,1.001,2
"L10065899",2,82,4.001,2
"L10065899",11,150,0.609695652173913,2
"L10066181",3,153,0.8135,3
"L10066181",4,104,1.001,3
"L10066181",2,121,0.001,3
"L10066181",1,114,0.556555555555555,3
"L10066181",12,127,0.776,3
"L10066181",11,53,0.278777777777778,3
"L10066269",12,15,0.801,3
"L10066269",1,26,0.637363636363636,3
"L10066269",3,49,1.001,3
"L10066269",11,16,0.001,3
"L10066269",2,43,0.609695652173913,3
"L10066287",3,17,0.834333333333333,2
"L10066287",1,72,1.841,2
"L10066287",2,41,1.001,2
"L10066287",11,42,3.21152631578947,2
"L10066287",12,51,1.001,2
"L10067010",11,69,3.001,2
"L10067010",12,22,8.001,2
"L10067023",4,97,1.001,2
"L10067023",12,152,1.001,2
"L10067023",3,131,1.001,2
"L10067023",11,159,1.001,2
"L10067023",2,124,0.905761904761905,2
"L10067023",1,90,0.737842105263158,2
"L10067430",1,37,1.001,2.5
"L10067430",3,68,1.001,2.5
"L10067430",4,14,1.001,2.5
"L10067430",2,48,1.001,2.5
"L10067430",12,67,1.001,2.5
"L10067430",11,26,1.001,2.5
"L10067664",11,209,2.58281818181818,1
"L10067664",1,219,4.001,1
"L10067664",3,247,1.23695505617978,1
"L10067664",12,222,4.001,1
"L10067664",2,351,4.001,1
"L10069767",12,108,1.001,1
"L10069767",1,112,0.773727272727273,1
"L10069767",11,35,0.693307692307692,1
"L10069767",3,68,0.834333333333333,1
"L10069767",2,59,1.001,1
"L10069767",4,17,1.001,1
"L10070159",1,272,1.001,2
"L10070159",2,261,1.89289189189189,2
"L10070159",11,306,3.43343243243243,2
"L10070159",4,284,3.01415789473684,2
"L10070159",3,340,1.001,2
"L10070159",12,443,3.30587804878049,2
"L10072335",4,182,1.001,3
"L10072335",2,156,1.001,3
"L10072335",12,160,1.001,3
"L10072335",3,126,1.001,3
"L10072335",11,165,1.001,3
"L10072335",1,128,1.001,3
"L10073479",2,295,1.001,3
"L10073479",12,158,1.001,3
"L10073479",11,8,1.001,3
"L10073479",1,232,2.52273913043478,3
"L10073479",4,100,3.05982352941176,3
"L10073479",3,201,1.47468421052632,3
"L10073608",1,52,1.001,1
"L10073608",11,172,1.201,1
"L10073608",12,52,1.001,1
"L10074000",12,125,1.001,3
"L10074000",3,25,1.001,3
"L10074000",2,27,1.001,3
"L10074000",4,114,1.001,3
"L10074000",11,56,1.001,3
"L10074000",1,158,NA,3
"L10074435",4,40,0.319181818181818,3
"L10074435",2,14,1.001,3
"L10074435",12,75,0.895736842105263,3
"L10074435",3,22,0.286714285714286,3
"L10074435",1,35,0.358142857142857,3
"L10074435",11,80,1.001,3
"L10074883",2,85,0.322428571428571,3
"L10074883",12,68,0.311344827586207,3
"L10074883",11,108,0.001,3
"L10074883",1,55,1.001,3
"L10074883",3,27,1.001,3
"L10075549",12,21,NA,2
"L10075636",12,81,1.001,3
"L10075636",11,42,1.001,3
"L10075636",3,85,0.001,3
"L10075636",1,103,0.648058823529412,3
"L10075636",2,60,0.401,3
"L10076651",12,364,1.001,2
"L10076651",1,468,1.001,2
"L10076651",11,122,1.001,2
"L10076651",3,468,1.001,2
"L10076651",2,701,1.001,2
"L10076651",4,410,1.001,2
"L10077606",3,44,1.001,2
"L10077606",4,8,1.001,2
"L10077606",11,92,0.792666666666667,2
"L10077606",2,50,0.462538461538462,2
"L10077606",1,48,0.601,2
"L10077606",12,53,0.270230769230769,2
"L10079150",12,81,1.58636585365854,2
"L10079150",1,135,1.001,2
"L10079150",11,47,1.001,2
"L10079150",4,125,1.001,2
"L10079150",3,140,1.001,2
"L10079150",2,161,1.001,2
"L10080720",1,20,0.001,3
"L10080720",2,83,1.001,3
"L10080720",4,68,0.751,3
"L10080720",11,51,0.667666666666667,3
"L10080720",3,77,0.001,3
"L10080720",12,75,0.826,3
"L10081302",11,90,2.93648387096774,1
"L10081336",11,90,0.001,3
"L10081336",4,110,0.761,3
"L10081336",12,192,0.597153846153846,3
"L10081336",3,236,0.840285714285714,3
"L10081336",1,165,1.001,3
"L10081336",2,187,1.001,3
"L10082036",11,82,1.001,1
"L10082036",12,128,2.63736363636364,1
"L10082036",1,55,4.001,1
"L10083691",1,324,8.001,3
"L10083691",11,458,8.001,3
"L10083691",12,449,8.001,3
"L10083698",3,136,1.001,3
"L10083698",2,131,1.001,3
"L10083698",12,107,1.001,3
"L10083698",4,141,1.001,3
"L10083698",11,46,1.001,3
"L10083698",1,62,1.001,3
"L10084034",2,39,0.001,2
"L10084034",11,42,1.001,2
"L10084374",2,109,1.001,3
"L10084374",3,159,1.761,3
"L10084374",1,212,1.001,3
"L10084374",12,168,1.001,3
"L10084374",11,106,2.62262162162162,3
"L10084374",4,109,3.42205263157895,3
"L10085171",11,44,1.001,2
"L10085171",2,90,1.001,2
"L10085171",1,79,1.001,2
"L10085171",3,100,1.001,2
"L10085171",12,102,1.001,2
"L10085623",12,404,1.64805882352941,3
"L10085623",11,261,3.02802702702703,3
"L10085623",4,183,1.001,3
"L10085623",2,263,1.001,3
"L10085623",1,247,1.001,3
"L10085623",3,266,1.001,3
"L10086084",3,113,0.751,3
"L10086084",4,111,1.001,3
"L10086084",1,156,1.751,3
"L10086084",11,48,2.001,3
"L10086084",12,113,2.28671428571429,3
"L10086084",2,98,1.001,3
"L10086245",3,29,1.001,4
"L10086245",11,6,0.001,4
"L10088317",11,110,1.001,4
"L10088317",12,215,1.001,4
"L10088317",1,196,1.001,4
"L10088317",3,151,1.001,4
"L10088317",2,137,1.001,4
"L10088784",2,124,1.001,2
"L10088784",1,181,1.8946170212766,2
"L10088784",12,336,2.981,2
"L10088784",11,142,1.001,2
"L10088784",3,250,1.65853424657534,2
"L10089742",11,69,1.001,NA
"L10089742",12,154,1.001,NA
"L10089742",1,106,1.001,NA
"L10089742",3,51,1.001,NA
"L10089742",2,96,1.001,NA
"L10090063",12,179,1.85814285714286,3
"L10090063",1,217,1.83923529411765,3
"L10090063",2,108,1.001,3
"L10090063",4,121,1.86463636363636,3
"L10090063",11,171,1.79345283018868,3
"L10090063",3,183,1.001,3
"L10090266",4,60,4.001,1
"L10090266",1,17,4.001,1
"L10090266",11,40,0.4385,1
"L10090266",12,35,1.001,1
"L10090327",12,22,1.001,2
"L10090327",11,35,0.667666666666667,2
"L10090327",2,34,1.001,2
"L10090327",3,49,NA,2
"L10090327",1,62,1.001,2
"L10090343",3,149,1.001,2
"L10090343",4,85,0.542666666666667,2
"L10090343",1,357,2.03946153846154,2
"L10090343",11,200,0.801,2
"L10090343",12,169,1.001,2
"L10090343",2,360,0.858142857142857,2
"L10090609",1,310,1.001,1
"L10090609",2,123,1.001,1
"L10090609",12,186,1.001,1
"L10090609",11,195,1.001,1
"L10090609",3,343,1.001,1
"L10090666",3,365,1.001,2
"L10090666",11,119,1.001,2
"L10090666",2,333,1.001,2
"L10090666",12,153,1.001,2
"L10090666",4,155,0.298872340425532,2
"L10090666",1,123,1.001,2
"L10092220",12,43,0.601,2
"L10092220",1,12,1.001,2
"L10092220",11,57,2.05982352941176,2
"L10092495",11,30,1.001,3
"L10092495",12,37,1.001,3
"L10093353",4,14,1.001,1
"L10093353",2,106,1.001,1
"L10093353",12,74,1.001,1
"L10093353",3,139,1.001,1
"L10093353",1,81,1.001,1
"L10093353",11,43,1.001,1
"L10093457",2,130,0.001,3
"L10093457",1,118,0.001,3
"L10093457",3,140,0.667666666666667,3
"L10093457",4,179,0.383352941176471,3
"L10093457",12,36,0.001,3
"L10093468",12,133,1.001,3
"L10093468",1,167,1.001,3
"L10093468",3,101,1.001,3
"L10093468",4,95,1.001,3
"L10093468",2,112,1.001,3
"L10093468",11,83,1.001,3
"L10093647",4,96,1.001,1
"L10093647",12,84,1.001,1
"L10093647",11,83,1.001,1
"L10093647",2,115,1.001,1
"L10093647",3,130,1.001,1
"L10093647",1,73,1.001,1
"L10093912",2,11,1.001,3
"L10093912",11,33,0.6885,3
"L10093912",3,22,1.001,3
"L10094014",11,106,0.385615384615385,4
"L10094014",1,174,0.001,4
"L10094014",2,57,0.001,4
"L10094014",12,99,0.308692307692308,4
"L10094014",4,26,1.001,4
"L10094014",3,67,0.549387096774194,4
"L10094136",1,174,0.801,3
"L10094136",2,149,1.001,3
"L10094136",3,207,1.001,3
"L10094136",4,53,1.001,3
"L10094136",12,95,1.001,3
"L10094136",11,149,1.001,3
"L10094181",12,191,4.001,3
"L10094181",1,171,3.19330769230769,3
"L10094181",11,146,5.07792307692308,3
"L10094181",4,121,1.001,3
"L10094181",3,136,3.18281818181818,3
"L10094181",2,149,3.49156603773585,3
"L10094213",1,161,0.766957446808511,3
"L10094213",2,246,0.512111111111111,3
"L10094213",12,208,1.001,3
"L10094213",4,252,1.001,3
"L10094213",3,374,1.001,3
"L10094213",11,63,0.546454545454545,3
"L10094362",1,343,1.841,2
"L10094362",2,267,1.001,2
"L10094362",12,232,1.001,2
"L10094362",3,236,1.001,2
"L10094362",4,74,1.001,2
"L10094362",11,305,1.74125974025974,2
"L10094926",1,47,2.66766666666667,1
"L10094926",2,12,1.001,1
"L10094926",12,34,2.501,1
"L10094926",11,40,1.001,1
"L10094939",12,53,0.852851851851852,1
"L10094939",4,103,1.001,1
"L10094939",2,54,1.001,1
"L10094939",1,110,1.001,1
"L10094939",11,68,1.001,1
"L10094939",3,70,1.001,1
"L10094995",11,51,0.477190476190476,3
"L10094995",3,34,0.001,3
