"SPECIES_CODE","EFFORT_HRS"
"chukar",145.145
"chwwid",31.031
"cinhum1",40.04
"cittro1",34.034
"clcrob",103.103
"clcspa",112.112
"cliswa",21.021
"comblh1",23.023
"combuz1",2.002
"comgal1",36.036
"comgol",186.186
"comgra1",1.001
"comloo",90.09
"commer",360.36
"commer1",31.031
"commyn",43.043
"comnig",4.004
"compau",5.005
"compea",39.039
"compoo",4.004
"comsni",2.002
"comwax",19.019
"comyel",445.445
"coukin",73.073
"crecar1",92.092
"crithr",177.177
"crow",42.042
"daejun1",64.064
"dickci",89.089
"doccor",394.394
"domgoo1",44.044
"ducfly",4.004
"dusfly",2.002
"dusgro",6.006
"easkin",87.087
"easmea",531.531
"easmea2",11.011
"easowl1",925.925
"eassco1",2.002
"eastow1",54.054
"eawpew",31.031
"egygoo",142.142
"eletro",2.002
"erthaw1",240.24
"eurgol",32.032
"eurgre1",1.001
"fepowl",34.034
"ferhaw",30.03
"fieldf",4.004
"fiscro",1513.512
"flsjay",12.012
"flycat1",12.012
"forter",10.01
"foxsp1",130.13
"foxsp2",203.203
"foxsp3",16.016
"fuwduc",2.002
"gadwal",105.105
"gbbgul",23.023
"gchwar",24.024
"gcrfin",811.811
"gilfli",477.477
"glagul",2.002
"gloibi",192.192
"glwgul",305.305
"gnttow",351.351
"gnwtea",81.081
"goceme1",1.001
"gocwoo1",60.06
"goldfi",6.006
"goleag",44.044
"golvir1",17.017
"grasal1",54.054
"graspa",5.005
"grawar",1.001
"grbani",22.022
"grbher",501.501
"grcfly",187.187
"greegr",793.793
"greegr2",186.186
"grekis",505.505
"greroa",1419.418
"gresca",1.001
"greyel",17.017
"grgowl",18.018
"grhowl",1553.552
"grhowl1",21.021
"grnher",49.049
"grnjay",568.568
"grnkin",4.004
"grnpar",41.041
"grsfly1",28.028
"grwher",32.032
"gryfly",8.008
"gryfra",2.002
"gryhaw2",14.014
"grykin",4.004
"grypar",501.501
"gryvir",6.006
"gycrof4",35.035
"gycthr",1.001
"gycyel",1.001
"gyhjun",757.757
"gyrfal",9.009
"hapwre1",28.028
"hawk",151.151
"helgui",21.021
"heptan",35.035
"hergul",966.966
"herthr3",5.005
"herwar",9.009
"hoomer",605.605
"hooori",1108.107
"hoowar",33.033
"horgre",1.001
"horlar",68.068
"horlar3",1.001
"houwre1",46.046
"houwre4",1.001
"hrshaw",195.195
"hummin",158.158
"hutvir",411.411
"hutvir1",2.002
"indbun",641.641
"ipsspa",10.01
"islcan1",1.001
"ivbwoo1",1.001
"javspa",58.058
"kenwar",1.001
"killde",614.614
"laplon",21.021
"larbun",25.025
"larspa",746.746
"larus",6.006
"larus1",1.001
"laufal1",2.002
"laugul",75.075
"lawgol",169.169
"lazbun",48.048
"leafly",10.01
"leagre",3.003
"leasan",6.006
"leater1",1.001
"lecspa",5.005
"lecthr",4.004
"lesnig",6.006
"lessca",34.034
"lesyel",8.008
"lewwoo",390.39
"libher",321.321
"limpki",122.122
"lobcur",1.001
"lobdow",8.008
"lobthr",266.266
"loeowl",8.008
"logshr",179.179
"louwat",10.01
"lucwar",75.075
"macwar",4.004
"magfri",3.003
"maghum1",14.014
"magwar",5.005
"mallar",14.014
"mallar2",623.623
"manswa1",2.002
"mastit1",11.011
"mdxmal1",4.004
"merlin",1244.243
"mexjay",8.008
"mexjay4",196.196
"mexpar1",2.002
"mexwoo1",3.003
"misthr1",4.004
"mitpar",14.014
"monpar",359.359
"monpar1",36.036
"monqua",14.014
"motduc",556.556
"motowl",26.026
"moublu",493.493
"moupyo1",4.004
"mouqua",114.114
"musduc2",121.121
"musduc3",278.278
"mutswa",61.061
"myrwar",481.481
"naswar",149.149
"naswar2",1.001
"neocor",14.014
"nobtyr",1.001
"nohowl",21.021
"nopowl",132.132
"norbob",324.324
"norcar1",106.106
"norgos",536.536
"norgos2",2.002
"norhar",1.001
"norhar1",6.006
"norhar2",769.769
"norpar",627.627
"norpin",70.07
"norpyo2",1.001
"norsho",41.041
"norshr",80.08
"norshr4",1512.511
"nrwswa",47.047
"nswowl",80.08
"nutfly",2.002
"obnthr1",1.001
"olispa",176.176
"orabis1",34.034
"orbbun1",22.022
"orcori",131.131
"orcwar1",12.012
"orcwar3",2.002
"orcwax",1.001
"orfpar",8.008
"oriole",1.001
"osprey",382.382
"osprey1",8.008
"ovenbi1",150.15
"owl1",1.001
"pabwoo1",7.007
"pacwre1",980.98
"pagplo",14.014
"paired",9.009
"palwar3",21.021
"palwar4",21.021
"pasfly",72.072
"passer1",1.001
"pecsan",3.003
"peflov",431.431
"perfal",130.13
"perfal1",1.001
"phaino",684.684
"pibgre",266.266
"pinjay",1197.196
"pisjun",1285.284
"pitwhy",34.034
"placha",106.106
"plcsta",13.013
"plsvir",6.006
"prafal",37.037
"pramer1",37.037
"prawar",207.207
"prowar",34.034
"purmar",365.365
"purmar1",4.004
"raven",3.003
"rcgspa1",25.025
"rebjun1",87.087
"reblei",23.023
"rebmer",29.029
"reccar",68.068
"recpar",70.07
"recwoo",14.014
"redcro",1322.321
"redhea",38.038
"redpol",70.07
"reevir1",45.045
"rempar",22.022
"rengre",2.002
"rensap",220.22
"resfli",1096.095
"reshaw2",57.057
"reshaw4",149.149
"reshaw5",383.383
"rethaw4",2.002
"revbul",65.065
"rewbla1",94.094
"rewbul",107.107
"ribgul",512.512
"ricgoo1",3.003
"rinduc",165.165
"rinphe1",24.024
"robgro",837.837
"rocpta1",1.001
"rocwre",114.114
"rolhaw",143.143
"rorpar",25.025
"rosfin",543.543
"rosspo1",15.015
"royter1",8.008
"rubcha1",47.047
"rubrob",5.005
"rubrob1",43.043
"rucmot1",34.034
"rucspa",584.584
"rucwar",34.034
"rudduc",37.037
"rugdov",2.002
"rusbla",899.899
"rusbun",6.006
"ruthum1",1.001
"ruwspa",242.242
"rxyfli",123.123
"sabjay",1.001
"saffin",1.001
"sagspa",5.005
"sagspa1",1.001
"sagthr",62.062
"sancra",687.687
"sancra2",1.001
"sancra5",54.054
"santer1",1.001
"savspa",598.598
"savspa3",2.002
"saypho",1023.022
"scaqua",329.329
"scatan",52.052
"scoori",88.088
"scrjay",258.258
"sctfly",38.038
"seaspa",6.006
"selasp",104.104
"semsan",3.003
"sheowl",10.01
"shicow",4.004
"shtgro",314.314
"shthaw",2.002
"sinwre1",34.034
"snobun",701.701
"snoegr",255.255
"snogoo",50.05
"snoowl1",22.022
"socfly1",29.029
"soogro1",1.001
"sora",17.017
"sparro1",151.151
"spbori",83.083
"spodov",94.094
"sposan",53.053
"spotow1",1.001
"spotow2",15.015
"spowre1",4.004
"sprgro",49.049
"squcuc1",32.032
"stbori",87.087
"sumtan",361.361
"swahaw",26.026
"swaspa",524.524
"swathr",79.079
"swiwhe1",43.043
"swtkit",31.031
"taimer1",1.001
"tanage",1.001
"tenwar",26.026
"thbkin",4.004
"thrush1",19.019
"treswa",450.45
"tribla",33.033
"triher",81.081
"trokin",69.069
"truswa",42.042
"tunswa",19.019
"turvul2",11.011
"varbun",33.033
"vauswi",3.003
"verfly",69.069
"vesspa",141.141
"vichum",10.01
"vigswa",120.12
"virrai",6.006
"virwar",1.001
"wantat1",2.002
"warble",3.003
"warvir",71.071
"warwhe1",49.049
"wesfly",1.001
"wesgul",83.083
"wesjay",200.2
"weskin",93.093
"wesmea",373.373
"wesowl1",198.198
"westan",147.147
"wewpew",3.003
"whbnut2",14.014
"whcsee",17.017
"whcsee1",4.004
"whcsee2",2.002
"whcswi",1.001
"whehum",4.004
"whepar2",3.003
"whevir",431.431
"whfibi",9.009
"whhwoo",538.538
"whiibi",895.895
"whip-p1",3.003
"whrsha",26.026
"whtdov",213.213
"whtkit",24.024
"whtrob1",7.007
"whwcro",500.5
"whwjun",84.084
"whwsco2",1.001
"wilpta",27.027
"wilsap",67.067
"wilsni1",19.019
"wilwar3",3.003
"winwre",45.045
"winwre2",1.001
"winwre3",786.786
"wlswar",209.209
"woewar1",15.015
"woodpe1",4.004
"woosto",229.229
"woothr",208.208
"wren1",10.01
"wrenti",419.419
"wrthaw1",97.097
"wurher",1.001
"x00004",245.245
"x00039",6.006
"x00051",15.015
"x00059",1.001
"x00195",96.096
"x00418",4.004
"x00422",8.008
"x00423",10.01
"x00623",4.004
"x00754",3.003
"y00001",75.075
"y00226",274.274
"y00227",33.033
"y00322",38.038
"y00323",6.006
"y00327",126.126
"y00330",3.003
"y00334",27.027
"y00337",2.002
"y00338",55.055
"y00471",58.058
"y00475",125.125
"y00478",3.003
"y00488",4.004
"y00598",9.009
"y00600",7.007
"y00619",26.026
"y00620",64.064
"ycnher",25.025
"yebcha",70.07
"yebcha1",1.001
"yebfly",8.008
"yebmag",245.245
"yecpar",20.02
"yefcan",19.019
"yegvir",3.003
"yehbla",107.107
"yehpar",2.002
"yelgro",1.001
"yelwar",251.251
"yerwar3",14.014
"yesfli",765.765
"yetvir",51.051
"yewcac1",59.059
"zebdov",75.075
